Manufacturer_Name,Approved_MFG_Location,Location Status,Usage Status,Quality Agreement,Current Audit Document,Approval Document/Reference#,Quality Due Date,Function,Quality Risk,Description of Goods/Services,Material Group,Amgen site,Supplier ID,Billing Vendor ID,Managed by,Subcategory,Billing Vendor Name,Billing Vendor Address,Last Changed By,Created on,Description
VANDERLANDE INDUSTRIES BV,"VEGHEL, NL",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-576122,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSLDL,NETB,100002271,100002271,"ASN0200449 / RAUWERDA, FRISO",SOFTWARE LICENSE DOWNLOAD VIA ELECTRONIC DOWNLOAD,VANDERLANDE INDUSTRIES BV,"VEGHEL, NL",NMARINOS,02/15/2021,IS SW Lic Download
VANDERLANDE INDUSTRIES BV,"VEGHEL, NL",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-576122,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSM,NETB,100002271,100002271,"ASN0200449 / RAUWERDA, FRISO",SOFTWARE MAINTENANCE - ON TANGIBLE MEDIA,VANDERLANDE INDUSTRIES BV,"VEGHEL, NL",NMARINOS,02/15/2021,IS Software Maint
ALMAC CLINICAL TECHNOLOGIES,"SOUDERTON,PA,US",APPROVED,Acceptable,"QAGR-401136, QAGR-402106",AMS-58357,RPT-549211,01/31/2023,CONTRACT MANUFACTURING,High,"PACKAGING, LABELING, STORAGE, AND DISTRIBUTION OF PHASE I, II, III PRODUCTS, NAMPS AND NIMPS",CTRMFG,GLOBAL,100003367,100059263,CLINICAL SUPPLY CHAIN,CONTRACT MANUFACTURERS,PHARMACEUTICAL RESEARCH ASSOC INC,"DALLAS,TX,US",GTORRE05,12/19/2015,Contract Mfg
MOVIANTO,"BEDFORD, GB",APPROVED,Acceptable,QAGR-402218,AMS-71648,REC-573564,12/30/2022,INTERNATIONAL LOGISTIC SERVICE PROVIDER,Medium,WAREHOUSING AND DISTRIBUTION SERVICES INCLUDING LOGISITICS SERVICE PROVIDERS,WAREH,GLOBAL,100003432,100003432,GLOBAL DISTRIBUTION EU,WAREHOUSING AND DISTRIBUTION SERVICES INCLUDING LOGISITICS SERVICE PROVIDERS,MOVIANTO,"BEDFORD, GB",GTORRE05,12/19/2015,Warehousing
METTLER TOLEDO PRODUCT INSPECTION,"'S-HERTOGENBOSCH, NL",APPROVED,Acceptable,QAGR-402192,N/A PER SOP-427473,REC-560717,06/30/2023,F&E MAINTENANCE,Low,BALANCE SYSTEM CALIBRATION AND MAINTENANCE,MFFEQP,GLOBAL,100003537,100266888,"MALDONADO, DAISEY",GENERAL EQUIPMENT SERVICES,METTLER TOLEDO B V,"TIEL,04,NL",NMARINOS,12/19/2015,Manuf&Facil Equip
SCHOTT AG,"MAINZ, DE",APPROVED,Acceptable,QAGR-402093,AMS-66491,RPT-543122,05/23/2022,CONTRACT LABS,High,• RAW MATERIAL RELEASE TESTING OF GLASS VIALS/SYRINGES TO BE USED AS PRIMARY CONTAINERS. • GLASS DELAMINATION ANALYSIS. • GLASS COMPENDIA ANALYSIS. • INVESTIGATIONAL TESTING.,CLSOPS,GLOBAL,100006248,100006248,ES CONTRACT LABS,ROUTINE TESTING,SCHOTT AG,"MAINZ, DE",NMARINOS,7/8/2019,Contract Lab Svcs
CUSTOMER SYSTEMS INTERNATIONAL INC DBA  ONTHEMOVE SOFTWARE,"WILMINGTON,DE,US",PROVISIONL,Acceptable with additional oversight,N/A PER SOP-416524,REC-631966,REC-605693,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS.,ISSLND,GLOBAL,100006578,100006578,1003,SOFTWARE LICENSE DOWNLOAD VIA PHYSICAL MEDIA,CUSTOMER SYSTEMS INTERNATIONAL INC,"WILMINGTON,DE,US",GTORRE05,03/31/2022,IS SW Lic no Dwnload
CUSTOMER SYSTEMS INTERNATIONAL INC DBA  ONTHEMOVE SOFTWARE,"WILMINGTON,DE,US",PROVISIONL,Acceptable with additional oversight,N/A PER SOP-416524,REC-631966,REC-605693,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS.,ISSME,GLOBAL,100006578,100006578,1003,"IS - SOFTWARE MAINTENANCE, ELECTRONIC - GMP",CUSTOMER SYSTEMS INTERNATIONAL INC,"WILMINGTON,DE,US",GTORRE05,03/31/2022,IS Sftwre Maint-Elec
CUSTOMER SYSTEMS INTERNATIONAL INC DBA  ONTHEMOVE SOFTWARE,"WILMINGTON,DE,US",PROVISIONL,Acceptable with additional oversight,N/A PER SOP-416524,REC-631966,REC-605693,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS.,ISSM,GLOBAL,100006578,100006578,1003,SOFTWARE MAINTENANCE - ON TANGIBLE MEDIA,CUSTOMER SYSTEMS INTERNATIONAL INC,"WILMINGTON,DE,US",GTORRE05,03/31/2022,IS Software Maint
CUSTOMER SYSTEMS INTERNATIONAL INC DBA  ONTHEMOVE SOFTWARE,"WILMINGTON,DE,US",PROVISIONL,Acceptable with additional oversight,N/A PER SOP-416524,REC-631966,REC-605693,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS.,ISSLDL,GLOBAL,100006578,100006578,1003,SOFTWARE LICENSE DOWNLOAD VIA ELECTRONIC DOWNLOAD,CUSTOMER SYSTEMS INTERNATIONAL INC,"WILMINGTON,DE,US",GTORRE05,03/31/2022,IS SW Lic Download
BIOCAIR INTERNATIONAL LTD,"CAMBRIDGE, GB",APPROVED,Acceptable,QAGR-401050,AMS-66493,REC-569143,01/24/2023,TRANSPORT,Medium,TRANSPORTATION INCLUDING ACTIVE TEMPERATURE CONTROL,SHDELS,GLOBAL,100007597,100007597,SUPPLY CHAIN,TRANSPORT SERVICE PROVIDERS- CONTROLLED TEMPERATURE SHIPMENTS,BIOCAIR INTERNATIONAL LTD,"CAMBRIDGE, GB",GTORRE05,02/28/2017,Ship& Delivery Serv
RENEWI NEDERLAND B.V.,"EINDHOVEN,07,NL",APPROVED,Acceptable,QAGR-400881,N/A PER SOP-427473,REC-551962,02/24/2024,RETURN AND DESTRUCTION,Low,WASTE DISPOSAL,PRDRET,NETB,100007651,100007651,"VOERMANS, HANNEKE",PRODUCT RETURNS AND DESTRUCTION SERVICES,RENEWI NEDERLAND B.V.,"EINDHOVEN,07,NL",NMARINOS,3/5/2021,Prod Retrun/Destruct
KORBER PHARMA PACKAGING AG,"GRABS, CH",APPROVED,Acceptable,QAGR-401251,N/A PER SOP-427473,REC-561958,03/31/2023,F&E MAINTENANCE,Low,GENERAL MAINTENANCE PACKAGING EQUIPMENT,MAINT,GLOBAL,100007690,100007690,"MALDONADO, DAISEY",OEM (ORIGINAL EQUIPMENT MANUFACTURER) SERVICES,KORBER PHARMA PACKAGING AG,"GRABS, CH",NMARINOS,12/19/2015,Maintenance Srv
NASSAU SNELTRANSPORT BV,"BREDA, NL",APPROVED,Acceptable,QAGR-402101,AMS-65159,REC-552117,06/20/2023,TRANSPORT,Medium,TRANSPORT SERVICE PROVIDERS,SHDELS,GLOBAL,100007700,100007700,EU DISTRIBUTION & INNOVATION,TRANSPORT SERVICE PROVIDERS,NASSAU SNELTRANSPORT BV,"BREDA, NL",NMARINOS,12/19/2015,Ship& Delivery Serv
DUBRE BV,"TILBURG, NL",APPROVED,Acceptable,QAGR-401319,N/A PER SOP-427473,REC-564739,03/31/2023,F&E MAINTENANCE,Low,ENGINEERING AND DESIGN SPECIFICATION DEVELOPMENT FOR PACKAGING EQUIPMENT,MFFEQP,GLOBAL,100007717,100007717,"MALDONADO, DAISEY",GENERAL EQUIPMENT SERVICES,DUBRE BV,"TILBURG, NL",NMARINOS,2/2/2016,Manuf&Facil Equip
NORDSON,"MAASTRICHT, NL",APPROVED,Acceptable,QAGR-401172,N/A PER SOP-427473,REC-560009,01/27/2024,F&E MAINTENANCE,Low,GENERAL MAINTENANCE OF PACKAGING EQUIPMENT,MAINT,GLOBAL,100007980,100007980,"MALDONADO, DAISEY",GENERAL EQUIPMENT SERVICES,NORDSON,"MAASTRICHT, NL",NMARINOS,10/26/2020,Maintenance Srv
ZETES BV,"EINDHOVEN, NL",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-572794,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSM,GLOBAL,100008023,100008023,ASN2668778,SOFTWARE MAINTENANCE - ON TANGIBLE MEDIA,ZETES BV,"EINDHOVEN, NL",NMARINOS,11/20/2019,IS Software Maint
ZETES BV,"EINDHOVEN, NL",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-572794,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSME,GLOBAL,100008023,100008023,ASN2668778,"IS - SOFTWARE MAINTENANCE, ELECTRONIC - GMP",ZETES BV,"EINDHOVEN, NL",NMARINOS,11/20/2019,IS Sftwre Maint-Elec
ZETES BV,"EINDHOVEN, NL",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-572794,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSLND,GLOBAL,100008023,100008023,ASN2668778,SOFTWARE LICENSE DOWNLOAD VIA PHYSICAL MEDIA,ZETES BV,"EINDHOVEN, NL",NMARINOS,11/20/2019,IS SW Lic no Dwnload
ZETES BV,"EINDHOVEN, NL",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-572794,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSLDL,GLOBAL,100008023,100008023,ASN2668778,SOFTWARE LICENSE DOWNLOAD VIA ELECTRONIC DOWNLOAD,ZETES BV,"EINDHOVEN, NL",NMARINOS,11/20/2019,IS SW Lic Download
ZETES BV,"EINDHOVEN, NL",APPROVED,Acceptable,QAGR-402053,N/A PER SOP-427473,REC-612796,05/31/2024,F&E MAINTENANCE,Low,"GENERAL MAINTENANCE, ASSEMBLY, AND PACKAGING EQUIPMENT (SCOPE ZEBRA PRINTERS)",MAINT,NETB,100008023,100008023,"MALDONADO, DAISEY",FAR (FACTORY AUTHORIZED REPRESENTATIVE),ZETES BV,"EINDHOVEN, NL",NMARINOS,06/16/2021,Maintenance Srv
RENTOKIL,"VOORBURG, NL",APPROVED,Acceptable,QAGR-400869,N/A PER SOP-427473,REC-551079,02/23/2024,F&E MAINTENANCE,Low,PEST CONTROL SERVICES,MAINT,GLOBAL,100008090,100008090,"MALDONADO, DAISEY",PEST CONTROL SERVICES,RENTOKIL,"VOORBURG, NL",NMARINOS,12/19/2015,Maintenance Srv
TOPA VERPAKKING,"VOORHOUT,12,NL",APPROVED,Acceptable,N/A PER SOP-427473,N/A PER SOP-427473,REC-577513,11/9/2022,GENERAL,Low,"PERFORM SECONDARY PACKAGING TESTING FOLLOWING AMGEN’S STANDARD OPERATING PROCEDURES AND PROTOCOLS. SECONDARY PACKAGING TESTING INCLUDES ACCELERATED AGING, EXTREME TEMPERATURE AND HUMIDITY, AND PHYSICAL TESTING AND TRANSPORT SIMULATION (ASTM D4169).",LABSS,GLOBAL,100008176,100008176,AMGEN BREDA PACKAGING ENGINEERING,SERVICES SUPPORTING GMP LAB FUNCTIONS INCLUDING ENGINEERING & MFG,TOPA VERPAKKING,"VOORHOUT,12,NL",NMARINOS,12/19/2015,Lab_Sup_Srvs
UHLMANN PAC SYSTEME GMBH & CO KG,"LAUPHEIM,08,DE",APPROVED,Acceptable,QAGR-402160,N/A PER SOP-427473,REC-560073,06/24/2024,F&E MAINTENANCE,Low,GENERAL MAINTENANCE PACKAGING EQUIPMENT,MAINT,GLOBAL,100009121,100009121,"MALDONADO, DAISEY",OEM (ORIGINAL EQUIPMENT MANUFACTURER) SERVICES,UHLMANN PAC SYSTEME GMBH & CO KG,"LAUPHEIM,08,DE",NMARINOS,12/19/2015,Maintenance Srv
IRON MOUNTAIN BELGIUM NV,"GRIMBERGEN, BE",APPROVED,Acceptable,QAGR-401081,"REC-576749,577010",REC-577710,6/9/2023,GENERAL,Low,"IRON MOUNTAIN, THROUGH ITS DIVISIONS AND AFFILIATES, PROVIDES VARIOUS RECORDS AND INFORMATION MANAGEMENT SERVICES, INCLUDING THE STORAGE OF RECORDS, PAPER (HARD-COPY), STORAGE OF MEDIA, DOCUMENT SHREDDING SERVIC...[SEE REC-577710 FOR COMPLETE DESCRIPTION]",RECDIM,GLOBAL,100009578,100009578,CORPORATE QUALITY ASSURANCE,ARCHIVING,IRON MOUNTAIN BELGIUM NV,"GRIMBERGEN, BE",NMARINOS,07/15/2021,Rec Inf Mgmt
SAS SOFTWARE LIMITED,"MARLOW, GB",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-605795,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GXP COMPUTERIZED SYSTEM,ISSME,GLOBAL,100009662,100009662,ASN0546735,"IS - SOFTWARE MAINTENANCE, ELECTRONIC - GMP",SAS SOFTWARE LIMITED,"MARLOW, GB",CJULARBA,02/21/2022,IS Sftwre Maint-Elec
SAS SOFTWARE LIMITED,"MARLOW, GB",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-605795,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GXP COMPUTERIZED SYSTEM,ISSLND,GLOBAL,100009662,100009662,ASN0546735,SOFTWARE LICENSE DOWNLOAD VIA PHYSICAL MEDIA,SAS SOFTWARE LIMITED,"MARLOW, GB",CJULARBA,02/21/2022,IS SW Lic no Dwnload
SAS SOFTWARE LIMITED,"MARLOW, GB",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-605795,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GXP COMPUTERIZED SYSTEM,ISSM,GLOBAL,100009662,100009662,ASN0546735,SOFTWARE MAINTENANCE - ON TANGIBLE MEDIA,SAS SOFTWARE LIMITED,"MARLOW, GB",CJULARBA,02/21/2022,IS Software Maint
SAS SOFTWARE LIMITED,"MARLOW, GB",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-605795,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GXP COMPUTERIZED SYSTEM,ISSLDL,GLOBAL,100009662,100009662,ASN0546735,SOFTWARE LICENSE DOWNLOAD VIA ELECTRONIC DOWNLOAD,SAS SOFTWARE LIMITED,"MARLOW, GB",CJULARBA,02/21/2022,IS SW Lic Download
LAMINAR MEDICA LTD,"TRING HERTS, GB",APPROVED,Acceptable,N/A PER SOP-416272,AMS-22185,N/A PER SOP-416272,12/31/9999,SUPPLIER QUALITY,Low,CONTROLLED TEMPERATURE SHIPPING SYSTEM,PKGEXD,GLOBAL,100010341,100010341,ES PACKAGING,CONTROLLED TEMPERATURE SHIPPING SYSTEM,LAMINAR MEDICA LTD,"TRING HERTS, GB",NMARINOS,1/12/2016,Ship Matls-Ext Dist
PROPHARMA GROUP MIS LTD,"RICHMOND, GB",APPROVED,Acceptable,QAGR-401082,AMS-66490,REC-560308,6/2/2022,PRODUCT COMPLAINTS CALL CENTER,High,"CALL CENTRES SERVICES FOR THE INTAKE OF AMGEN MEDICAL INFORMATION ENQUIRIES, ADVERSE EVENTS, PRODUCT COMPLAINTS AND OTHER ENQUIRIES. SPECIFICALLY, FOR PRODUCT COMPLAINTS: RECEIVES AND DOCUMENTS PRODUCT COMPLAINTS (G...[SEE REC-560308 COMPLETE DESCRIPTION]",CCCS,GLOBAL,100011771,100011771,"LARKIN, SUSAN, MEDICAL INFORMATION MGR","CALL CENTER SERVICES - GMP, INCLUDES PRODUCT COMPLAINTS",PROPHARMA GROUP MIS LTD,"RICHMOND, GB",NMARINOS,12/19/2015,Call Centre Services
UPS SCS NEDERLAND BV,"SCHIPHOL, NL",APPROVED,Acceptable,QAGR-401029,AMS-58464,REC-569044,4/5/2024,TRANSPORT,Medium,TRANSPORTATION INCLUDING ACTIVE TEMPERATURE CONTROL AIR,SHDELS,GLOBAL,100016058,100016058,"RIOS, ROSENDO - SUPPLY CHAIN EXCELLENCE",TRANSPORT SERVICE PROVIDERS- CONTROLLED TEMPERATURE SHIPMENTS,UPS SCS NEDERLAND BV,"SCHIPHOL, NL",GTORRE05,02/28/2017,Ship& Delivery Serv
SUNNIKAN CONSULTING,"SAINT MAUR, FR",APPROVED,Acceptable,N/A PER SOP-427473,N/A PER SOP-427473,REC-575172,05/25/2023,CONSULTANTS,Low,PERFORMANCE OF QUALITY REVIEWS FOR LOCAL PROCESSES AT AMGEN S.A.S AS PER REQUIREMENT OF FRENCH LAW FOR OPERATING PHARMACEUTICAL ESTABLISHMENTS.,GACONS,GLOBAL,100016295,100016295,"IDQ / LE CLERC DE BUSSY, CHARLOTTE",MISC GMP CONSULTANTS,SUNNIKAN CONSULTING,"SAINT MAUR, FR",NMARINOS,02/19/2017,OtherG&Aconsult
ATS AUTOMATION TOOLING SYSTEMS GMBH,"WINNENDEN, DE",APPROVED,Acceptable,QAGR-402235,N/A PER SOP-430398,REC-560072,03/16/2024,F&E MAINTENANCE,Low,GENERAL MAINTENANCE OF PACKAGING EQUIPMENT,MAINT,GLOBAL,100017124,100017124,"MALDONADO, DAISEY",OEM (ORIGINAL EQUIPMENT MANUFACTURER) SERVICES,ATS AUTOMATION TOOLING SYSTEMS GMBH,"WINNENDEN, DE",NMARINOS,12/19/2015,Maintenance Srv
VISTALINK NV,"MECHELEN, BE",APPROVED,Acceptable,QAGR-402170,N/A PER SOP-427473,REC-561838,6/1/2024,F&E MAINTENANCE,Low,VISION SYSTEM MAINTENANCE PACKAGING EQUIPMENT,MAINT,GLOBAL,100018203,100018203,"MALDONADO, DAISEY",OEM (ORIGINAL EQUIPMENT MANUFACTURER) SERVICES,VISTALINK NV,"MECHELEN, BE",GTORRE05,12/19/2015,Maintenance Srv
DAWSON GROUP,"ROTTERDAM, NL",APPROVED,Acceptable,QAGR-401296,N/A PER SOP-427473,REC-563653,07/31/2023,F&E MAINTENANCE,Low,"PROVIDING A FULL RANGE OF REFRIGERATION ENGINEERING TO PREVENTATIVE SERVICE FOR MOBILE COOLING, FREEZING AND CONDITIONED ROOM UNITS",MAINT,GLOBAL,100019360,100019360,"MALDONADO, DAISEY",GENERAL & MISC MAINTENANCE SERVICES,DAWSON GROUP,"ROTTERDAM, NL",NMARINOS,12/19/2015,Maintenance Srv
VOICE & SCRIPT INTERNATIONAL LTD,"LONDON, GB",APPROVED,Acceptable,QAGR-401191,AMS-27387,REC-570001,7/1/2022,GENERAL,Low,ARTWORK CREATION AND PROOFREADING SERVICES,GACONS,GLOBAL,100019922,100019922,GLOBAL ARTWORK CENTER,MISC GMP CONTRACTORS,VOICE & SCRIPT INTERNATIONAL LTD,"LONDON, GB",NMARINOS,12/19/2015,OtherG&Aconsult
WESTERDIJK FUNGAL BIODIVERSITY INSTITUTE,"UTRECHT, NL",APPROVED,Acceptable,QAGR-402179,N/A PER SOP-427473,REC-560597,01/13/2024,F&E MAINTENANCE,Low,MEASUREMENT OF FUNGAL LOAD,MAINT,GLOBAL,100020761,100020761,"VOERMANS, HANNEKE",GENERAL & MISC MAINTENANCE SERVICES,WESTERDIJK FUNGAL BIODIVERSITY,"UTRECHT, NL",NMARINOS,1/4/2018,Maintenance Srv
ORIOLA FINLAND OY,"ESPOO, FI",APPROVED,Acceptable,QAGR-402355,N/A PER SOP-427473,REC-578068,5/1/2022,PRODUCT COMPLAINTS CALL CENTER,High,FIRST-LINE CALL CENTER FOR MEDINFO INTAKE IN FINLAND,CCCS,FNLD,100020790,100020790,"MEDICAL DIR-AMGEN AB / KIVIRANTA, RIKU","CALL CENTER SERVICES - GMP, INCLUDES PRODUCT COMPLAINTS",ORIOLA FINLAND OY,"ESPOO, FI",NMARINOS,6/4/2020,Call Centre Services
ORIOLA FINLAND OY,"ESPOO, FI",APPROVED,Acceptable,QAGR-400843,AMS-58445,REC-558760,04/30/2022,INTERNATIONAL LOGISTIC SERVICE PROVIDER,High,"PROVIDE SERVICES FOR IMPORT AND TRANSPORTATION TO THE CLINICAL SITES WITHIN THE COUNTRY. IMPORT CHECKS ARE PAPER-BASED, NO CONTACT WITH THE PRODUCT.",CLNDEP,NETB,100020790,100020790,GLOBAL SUPPLY HUB EUROPE,CLINICAL DEPOTS (LOGISTICS SERVICE PROVIDERS) FOR CLINICAL TRIAL PRODUCTS,ORIOLA FINLAND OY,"ESPOO, FI",NMARINOS,12/19/2015,Clinical Depots
DELETED VENDOR- Dr. Wolfgang Zelle,"Hamburg, DE",APPROVED,Acceptable,QAGR-401522,N/A PER SOP-427473,REC-554832,01/31/2025,PRODUCT CONTACT ELASTOMER/HOSE SUPPLIER,Low,PCS ELASTOMER SUPPLIER,ETVPS,GLOBAL,100021856,100112995,"WALTNER, JERALD",PCS ELASTOMER,FLORIDA FLUID SYSTEM TECHNOLOGIES,"SAN JUAN,PR,US",JWALTNER,01/27/2022,MRO - ETVPS
