Product,Product Description,Material Group (for the Product),Material Type (for the Product),IM Material Number,Material Type For IM Material,Material Sub group,IM Material Description,IM Spec Number,ZHE1 Material Number,ZHE1 Material Description,Mfr Part Number,X-Plant Matl Status of ZHE1 Matl,Manufacturer,Manufacturer_Name,Mfr Block Function,Approved_MFG_Location,Source Location,ADM Country,ADM Animal,ADM Tissue
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,3002081,ZRO1,FLTR,"FLTR Millipore Opticap XL 10"" 0.22 UM",RMS-002072,11005751,"FLTR Millipore Opticap XL 10"" 0.22 UM",KVGLA10TT1,Z0,100046380,EMD MILLIPORE CORP,Z3,,,MX,BOV,TLW
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,3002081,ZRO1,FLTR,"FLTR Millipore Opticap XL 10"" 0.22 UM",RMS-002072,11005751,"FLTR Millipore Opticap XL 10"" 0.22 UM",KVGLA10TT1,Z0,100046380,EMD MILLIPORE CORP,Z3,,,US,BOV,TLW
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,3002081,ZRO1,FLTR,"FLTR Millipore Opticap XL 10"" 0.22 UM",RMS-002072,11006282,"FLTR Millipore Opticap XL 10"" 0.22 UM",KVGLA10TT1,Z8,100046380,EMD MILLIPORE CORP,Z3,,,,,
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,3002081,ZRO1,FLTR,"FLTR Millipore Opticap XL 10"" 0.22 UM",RMS-002072,11006528,"FLTR Millipore Opticap XL 10"" 0.22 UM",KVGLA10TT1,Z8,100046380,EMD MILLIPORE CORP,Z3,,,,,
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,3002090,ZRO1,FLTR,"FLTR Durapore 4"" Opticap XL4 0.22 Mic",RMS-001792,11005775,"FLTR Durapore 4"" Opticap XL4 0.22 Mic",KVGLA04TT3,Z0,100046380,EMD MILLIPORE CORP,Z3,,,CA,BOV,TLW
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,3002090,ZRO1,FLTR,"FLTR Durapore 4"" Opticap XL4 0.22 Mic",RMS-001792,11005775,"FLTR Durapore 4"" Opticap XL4 0.22 Mic",KVGLA04TT3,Z0,100046380,EMD MILLIPORE CORP,Z3,,,MX,BOV,TLW
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,3002090,ZRO1,FLTR,"FLTR Durapore 4"" Opticap XL4 0.22 Mic",RMS-001792,11005775,"FLTR Durapore 4"" Opticap XL4 0.22 Mic",KVGLA04TT3,Z0,100046380,EMD MILLIPORE CORP,Z3,,,US,BOV,TLW
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,3002090,ZRO1,FLTR,"FLTR Durapore 4"" Opticap XL4 0.22 Mic",RMS-001792,11012125,"FLTR Durapore 4"" Opticap XL4 0.22 Mic",KVGLA04TT3,Z8,100066324,MERCK (MERCK KGAA),Z5,,,,,
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,1107404,ZRO1,PCNTR,PCNTR Cryotube 1.8mL PP Starfoot,PCS-000216,11000607,PCNTR Cryotube 1.8mL PP Starfoot,"377267, 3-77267",Z0,100075195,NALGE NUNC INTL CORP,Z3,"ROSKILDE, DK;","ROSKILDE, DK;",EU,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,1107404,ZRO1,PCNTR,PCNTR Cryotube 1.8mL PP Starfoot,PCS-000216,11000607,PCNTR Cryotube 1.8mL PP Starfoot,"377267, 3-77267",Z0,100075195,NALGE NUNC INTL CORP,Z3,"ROSKILDE, DK;","ROSKILDE, DK;",EU,POR,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,1107450,ZRO1,PCNTR,PCNTR Centrifuge 500mL PP,PCS-000269,11000633,PCNTR Centrifuge 500mL PP,431123,Z0,100052140,CORNING INC,Z3,"ONEONTA, NY, US;","PENN YAN, NY, US;",CA,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,1107450,ZRO1,PCNTR,PCNTR Centrifuge 500mL PP,PCS-000269,11000633,PCNTR Centrifuge 500mL PP,431123,Z0,100052140,CORNING INC,Z3,"ONEONTA, NY, US;","PENN YAN, NY, US;",MX,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,1107450,ZRO1,PCNTR,PCNTR Centrifuge 500mL PP,PCS-000269,11000633,PCNTR Centrifuge 500mL PP,431123,Z0,100052140,CORNING INC,Z3,"ONEONTA, NY, US;","PENN YAN, NY, US;",US,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,1107451,ZRO1,PCNTR,PCNTR Centrifuge 15mL PP,PCS-000271,11000634,PCNTR Centrifuge 15mL PP,430052,Z0,100052140,CORNING INC,Z3,"REYNOSA, TAMAULIPAS, MX;","REYNOSA, TAMAULIPAS, MX;",CA,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,1107451,ZRO1,PCNTR,PCNTR Centrifuge 15mL PP,PCS-000271,11000634,PCNTR Centrifuge 15mL PP,430052,Z0,100052140,CORNING INC,Z3,"REYNOSA, TAMAULIPAS, MX;","REYNOSA, TAMAULIPAS, MX;",MX,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,1107451,ZRO1,PCNTR,PCNTR Centrifuge 15mL PP,PCS-000271,11000634,PCNTR Centrifuge 15mL PP,430052,Z0,100052140,CORNING INC,Z3,"REYNOSA, TAMAULIPAS, MX;","REYNOSA, TAMAULIPAS, MX;",US,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,1107452,ZRO1,PCNTR,PCNTR Tube Centrifuge 50mL PP,PCS-000273,11000635,PCNTR Tube Centrifuge 50mL PP,430290,Z0,100052140,CORNING INC,Z3,"REYNOSA, TAMAULIPAS, MX;","REYNOSA, TAMAULIPAS, MX;",CA,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,1107452,ZRO1,PCNTR,PCNTR Tube Centrifuge 50mL PP,PCS-000273,11000635,PCNTR Tube Centrifuge 50mL PP,430290,Z0,100052140,CORNING INC,Z3,"REYNOSA, TAMAULIPAS, MX;","REYNOSA, TAMAULIPAS, MX;",MX,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,1107452,ZRO1,PCNTR,PCNTR Tube Centrifuge 50mL PP,PCS-000273,11000635,PCNTR Tube Centrifuge 50mL PP,430290,Z0,100052140,CORNING INC,Z3,"REYNOSA, TAMAULIPAS, MX;","REYNOSA, TAMAULIPAS, MX;",US,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,21047,ZRO1,OTHSU,OTHSU Flask VENTED 250mL PC,RMS-001018,11000878,OTHSU Flask VENTED 250mL PC,431144,Z0,100052140,CORNING INC,Z3,,,,,
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,21047,ZRO1,OTHSU,OTHSU Flask VENTED 250mL PC,RMS-001018,11012566,OTHSU Flask VENTED 250mL PC,431144,Z0,100051266,AVANTOR FLUID HANDLING LLC,Z3,,,,,
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,21272,ZRO1,OTHSU,OTHSU Flask W/0.2 UM VENT CAP 500mL,RMS-001252,11001212,OTHSU Flask W/0.2 UM VENT CAP 500mL,431145,Z0,100052140,CORNING INC,Z3,,,,,
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,21272,ZRO1,OTHSU,OTHSU Flask W/0.2 UM VENT CAP 500mL,RMS-001252,11012567,OTHSU Flask W/0.2 UM VENT CAP 500mL,431145,Z0,100051266,AVANTOR FLUID HANDLING LLC,Z3,,,,,
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,21273,ZRO1,OTHSU,OTHSU Flask W/ Vented Cap 1 L Disp,RMS-001253,11001213,OTHSU Flask W/ Vented Cap 1 L Disp,431147,Z0,100052140,CORNING INC,Z3,,,CA,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,21273,ZRO1,OTHSU,OTHSU Flask W/ Vented Cap 1 L Disp,RMS-001253,11001213,OTHSU Flask W/ Vented Cap 1 L Disp,431147,Z0,100052140,CORNING INC,Z3,,,MX,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,21273,ZRO1,OTHSU,OTHSU Flask W/ Vented Cap 1 L Disp,RMS-001253,11001213,OTHSU Flask W/ Vented Cap 1 L Disp,431147,Z0,100052140,CORNING INC,Z3,,,US,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,21273,ZRO1,OTHSU,OTHSU Flask W/ Vented Cap 1 L Disp,RMS-001253,11012568,OTHSU Flask W/ Vented Cap 1 L Disp,431147,Z0,100051266,AVANTOR FLUID HANDLING LLC,Z3,,,,,
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,21354,ZRO1,OTHSU,OTHSU Flask 2 L Corning Disp Sterile,RMS-000160,11001278,OTHSU Flask 2 L Corning Disp Sterile,431255,Z0,100052140,CORNING INC,Z3,,,,,
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,21354,ZRO1,OTHSU,OTHSU Flask 2 L Corning Disp Sterile,RMS-000160,11012561,OTHSU Flask 2 L Corning Disp Sterile,431255,Z0,100051266,AVANTOR FLUID HANDLING LLC,Z3,,,,,
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,2349,ZRO1,TUBNG,"TUBNG Silicone 1/8"" X 1/4""",RMS-000429,11001668,"TUBNG Silicone 1/8"" X 1/4""","60-825-79,60-011-21,60-564-79",Z0,100065637,FREUDENBERG MEDICAL LLC,Z3,,,,,
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,2349,ZRO1,TUBNG,"TUBNG Silicone 1/8"" X 1/4""",RMS-000429,11001669,"TUBNG Silicone 1/8"" X 1/4""",FB1342,Z3,100065700,SAINT GOBAIN PERFORMANCE PLASTICS,Z3,,,,,
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,2349,ZRO1,TUBNG,"TUBNG Silicone 1/8"" X 1/4""",RMS-000429,11003684,"TUBNG Silicone 1/8"" X 1/4""",32829-028,Z8,100077629,DOW CORNING CORP,Z3,,,,,
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,2349,ZRO1,TUBNG,"TUBNG Silicone 1/8"" X 1/4""",RMS-000429,11011402,"TUBNG Silicone 1/8"" X 1/4""",61-747-79,Z0,100065637,FREUDENBERG MEDICAL LLC,Z3,,,,,
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,2349,ZRO1,TUBNG,"TUBNG Silicone 1/8"" X 1/4""",RMS-000429,11012613,"TUBNG Silicone 1/8"" X 1/4""",61-747-79,Z0,100051266,AVANTOR FLUID HANDLING LLC,Z3,,,,,
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,2586,ZRO1,CHEM,CHEM Dimethyl Sulfoxide USP/EP,RMS-000557,11001805,CHEM Dimethyl Sulfoxide USP/EP,D2438,Z0,100060860,SAFC SIGMA ALDRICH INC,Z3,,,,,
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,2908,ZRO1,VSLBG,VSLBG Btl 500Ml Disp Sterile Storage,RMS-000750,11001993,VSLBG Btl 500Ml Disp Sterile Storage,430282,Z0,100052140,CORNING INC,Z3,"ONEONTA, NY, US;","ONEONTA, NY, US;",CA,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,2908,ZRO1,VSLBG,VSLBG Btl 500Ml Disp Sterile Storage,RMS-000750,11001993,VSLBG Btl 500Ml Disp Sterile Storage,430282,Z0,100052140,CORNING INC,Z3,"ONEONTA, NY, US;","ONEONTA, NY, US;",MX,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,2908,ZRO1,VSLBG,VSLBG Btl 500Ml Disp Sterile Storage,RMS-000750,11001993,VSLBG Btl 500Ml Disp Sterile Storage,430282,Z0,100052140,CORNING INC,Z3,"ONEONTA, NY, US;","ONEONTA, NY, US;",US,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,2908,ZRO1,VSLBG,VSLBG Btl 500Ml Disp Sterile Storage,RMS-000750,11012525,VSLBG Btl 500Ml Disp Sterile Storage,430282,Z0,100051266,AVANTOR FLUID HANDLING LLC,Z3,,,,,
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,2987,ZRO1,VSLBG,VSLBG BTL Sterile Storage 1000mL DISP,RMS-000809,11002046,VSLBG BTL Sterile Storage 1000mL DISP,430518,Z0,100052140,CORNING INC,Z3,"ONEONTA, NY, US;","ONEONTA, NY, US;",CA,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,2987,ZRO1,VSLBG,VSLBG BTL Sterile Storage 1000mL DISP,RMS-000809,11002046,VSLBG BTL Sterile Storage 1000mL DISP,430518,Z0,100052140,CORNING INC,Z3,"ONEONTA, NY, US;","ONEONTA, NY, US;",MX,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,2987,ZRO1,VSLBG,VSLBG BTL Sterile Storage 1000mL DISP,RMS-000809,11002046,VSLBG BTL Sterile Storage 1000mL DISP,430518,Z0,100052140,CORNING INC,Z3,"ONEONTA, NY, US;","ONEONTA, NY, US;",US,BOV,TLW
02026-W,049 WCB Mammalian cs9 Clone 25B12,49,ZHA6,2987,ZRO1,VSLBG,VSLBG BTL Sterile Storage 1000mL DISP,RMS-000809,11012526,VSLBG BTL Sterile Storage 1000mL DISP,430518,Z0,100051266,AVANTOR FLUID HANDLING LLC,Z3,,,,,
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,1107404,ZRO1,PCNTR,PCNTR Cryotube 1.8mL PP Starfoot,PCS-000216,11000607,PCNTR Cryotube 1.8mL PP Starfoot,"377267, 3-77267",Z0,100075195,NALGE NUNC INTL CORP,Z3,"ROSKILDE, DK;","ROSKILDE, DK;",EU,BOV,TLW
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,1107404,ZRO1,PCNTR,PCNTR Cryotube 1.8mL PP Starfoot,PCS-000216,11000607,PCNTR Cryotube 1.8mL PP Starfoot,"377267, 3-77267",Z0,100075195,NALGE NUNC INTL CORP,Z3,"ROSKILDE, DK;","ROSKILDE, DK;",EU,POR,TLW
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,1107450,ZRO1,PCNTR,PCNTR Centrifuge 500mL PP,PCS-000269,11000633,PCNTR Centrifuge 500mL PP,431123,Z0,100052140,CORNING INC,Z3,"ONEONTA, NY, US;","PENN YAN, NY, US;",CA,BOV,TLW
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,1107450,ZRO1,PCNTR,PCNTR Centrifuge 500mL PP,PCS-000269,11000633,PCNTR Centrifuge 500mL PP,431123,Z0,100052140,CORNING INC,Z3,"ONEONTA, NY, US;","PENN YAN, NY, US;",MX,BOV,TLW
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,1107450,ZRO1,PCNTR,PCNTR Centrifuge 500mL PP,PCS-000269,11000633,PCNTR Centrifuge 500mL PP,431123,Z0,100052140,CORNING INC,Z3,"ONEONTA, NY, US;","PENN YAN, NY, US;",US,BOV,TLW
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,1107451,ZRO1,PCNTR,PCNTR Centrifuge 15mL PP,PCS-000271,11000634,PCNTR Centrifuge 15mL PP,430052,Z0,100052140,CORNING INC,Z3,"REYNOSA, TAMAULIPAS, MX;","REYNOSA, TAMAULIPAS, MX;",CA,BOV,TLW
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,1107451,ZRO1,PCNTR,PCNTR Centrifuge 15mL PP,PCS-000271,11000634,PCNTR Centrifuge 15mL PP,430052,Z0,100052140,CORNING INC,Z3,"REYNOSA, TAMAULIPAS, MX;","REYNOSA, TAMAULIPAS, MX;",MX,BOV,TLW
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,1107451,ZRO1,PCNTR,PCNTR Centrifuge 15mL PP,PCS-000271,11000634,PCNTR Centrifuge 15mL PP,430052,Z0,100052140,CORNING INC,Z3,"REYNOSA, TAMAULIPAS, MX;","REYNOSA, TAMAULIPAS, MX;",US,BOV,TLW
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,1107452,ZRO1,PCNTR,PCNTR Tube Centrifuge 50mL PP,PCS-000273,11000635,PCNTR Tube Centrifuge 50mL PP,430290,Z0,100052140,CORNING INC,Z3,"REYNOSA, TAMAULIPAS, MX;","REYNOSA, TAMAULIPAS, MX;",CA,BOV,TLW
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,1107452,ZRO1,PCNTR,PCNTR Tube Centrifuge 50mL PP,PCS-000273,11000635,PCNTR Tube Centrifuge 50mL PP,430290,Z0,100052140,CORNING INC,Z3,"REYNOSA, TAMAULIPAS, MX;","REYNOSA, TAMAULIPAS, MX;",MX,BOV,TLW
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,1107452,ZRO1,PCNTR,PCNTR Tube Centrifuge 50mL PP,PCS-000273,11000635,PCNTR Tube Centrifuge 50mL PP,430290,Z0,100052140,CORNING INC,Z3,"REYNOSA, TAMAULIPAS, MX;","REYNOSA, TAMAULIPAS, MX;",US,BOV,TLW
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,21047,ZRO1,OTHSU,OTHSU Flask VENTED 250mL PC,RMS-001018,11000878,OTHSU Flask VENTED 250mL PC,431144,Z0,100052140,CORNING INC,Z3,,,,,
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,21047,ZRO1,OTHSU,OTHSU Flask VENTED 250mL PC,RMS-001018,11012566,OTHSU Flask VENTED 250mL PC,431144,Z0,100051266,AVANTOR FLUID HANDLING LLC,Z3,,,,,
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,21272,ZRO1,OTHSU,OTHSU Flask W/0.2 UM VENT CAP 500mL,RMS-001252,11001212,OTHSU Flask W/0.2 UM VENT CAP 500mL,431145,Z0,100052140,CORNING INC,Z3,,,,,
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,21272,ZRO1,OTHSU,OTHSU Flask W/0.2 UM VENT CAP 500mL,RMS-001252,11012567,OTHSU Flask W/0.2 UM VENT CAP 500mL,431145,Z0,100051266,AVANTOR FLUID HANDLING LLC,Z3,,,,,
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,21273,ZRO1,OTHSU,OTHSU Flask W/ Vented Cap 1 L Disp,RMS-001253,11001213,OTHSU Flask W/ Vented Cap 1 L Disp,431147,Z0,100052140,CORNING INC,Z3,,,CA,BOV,TLW
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,21273,ZRO1,OTHSU,OTHSU Flask W/ Vented Cap 1 L Disp,RMS-001253,11001213,OTHSU Flask W/ Vented Cap 1 L Disp,431147,Z0,100052140,CORNING INC,Z3,,,MX,BOV,TLW
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,21273,ZRO1,OTHSU,OTHSU Flask W/ Vented Cap 1 L Disp,RMS-001253,11001213,OTHSU Flask W/ Vented Cap 1 L Disp,431147,Z0,100052140,CORNING INC,Z3,,,US,BOV,TLW
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,21273,ZRO1,OTHSU,OTHSU Flask W/ Vented Cap 1 L Disp,RMS-001253,11012568,OTHSU Flask W/ Vented Cap 1 L Disp,431147,Z0,100051266,AVANTOR FLUID HANDLING LLC,Z3,,,,,
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,21354,ZRO1,OTHSU,OTHSU Flask 2 L Corning Disp Sterile,RMS-000160,11001278,OTHSU Flask 2 L Corning Disp Sterile,431255,Z0,100052140,CORNING INC,Z3,,,,,
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,21354,ZRO1,OTHSU,OTHSU Flask 2 L Corning Disp Sterile,RMS-000160,11012561,OTHSU Flask 2 L Corning Disp Sterile,431255,Z0,100051266,AVANTOR FLUID HANDLING LLC,Z3,,,,,
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,2349,ZRO1,TUBNG,"TUBNG Silicone 1/8"" X 1/4""",RMS-000429,11001668,"TUBNG Silicone 1/8"" X 1/4""","60-825-79,60-011-21,60-564-79",Z0,100065637,FREUDENBERG MEDICAL LLC,Z3,,,,,
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,2349,ZRO1,TUBNG,"TUBNG Silicone 1/8"" X 1/4""",RMS-000429,11001669,"TUBNG Silicone 1/8"" X 1/4""",FB1342,Z3,100065700,SAINT GOBAIN PERFORMANCE PLASTICS,Z3,,,,,
13000970,"049 WCB Mammalian cs9 Clone 25B12, Sub 2",49,ZHA6,2349,ZRO1,TUBNG,"TUBNG Silicone 1/8"" X 1/4""",RMS-000429,11003684,"TUBNG Silicone 1/8"" X 1/4""",32829-028,Z8,100077629,DOW CORNING CORP,Z3,,,,,
